
Words information for Health topic: 


Word  ,  Topic  ,  Total_percentage_abundance 
-------------------------------------------------------------------------------
  Health  2.951987 
fetal  Health  0.735125 
tissue  Health  0.562830 
research  Health  0.551344 
human  Health  0.493912 
health  Health  0.424994 
blood  Health  0.379049 
uterus  Health  0.356076 
cancer  Health  0.333104 
breath  Health  0.321617 
sleep  Health  0.321617 
cells  Health  0.310131 
contract  Health  0.275672 
people  Health  0.264186 
vaccine  Health  0.264186 
hours  Health  0.241213 
transplant  Health  0.241213 
hhs  Health  0.229727 
according  Health  0.218240 
measles  Health  0.206754 
using  Health  0.206754 
national  Health  0.195268 
university  Health  0.195268 
%  Health  0.183781 
disease  Health  0.183781 
report  Health  0.183781 
test  Health  0.183781 
mouth  Health  0.172295 
study  Health  0.172295 
team  Health  0.172295 
federal  Health  0.160809 
bad  Health  0.149322 
cnn  Health  0.149322 
dr  Health  0.149322 
night  Health  0.149322 
performed  Health  0.149322 
rare  Health  0.149322 
time  Health  0.149322 
type  Health  0.149322 
abortions  Health  0.137836 
institutes  Health  0.137836 
post  Health  0.137836 
risk  Health  0.137836 
stem  Health  0.137836 
transplants  Health  0.137836 
ucsf  Health  0.137836 
develop  Health  0.126350 
donor  Health  0.126350 
medicine  Health  0.126350 
re  Health  0.126350 
treatment  Health  0.126350 
added  Health  0.114863 
administration  Health  0.114863 
alternatives  Health  0.114863 
cardiovascular  Health  0.114863 
decision  Health  0.114863 
donors  Health  0.114863 
eight  Health  0.114863 
elective  Health  0.114863 
funding  Health  0.114863 
hospital  Health  0.114863 
oakley  Health  0.114863 
president  Health  0.114863 
sleeping  Health  0.114863 
trump  Health  0.114863 
zainab  Health  0.114863 
body  Health  0.103377 
born  Health  0.103377 
called  Health  0.103377 
days  Health  0.103377 
found  Health  0.103377 
medical  Health  0.103377 
organ  Health  0.103377 
researchers  Health  0.103377 
sign  Health  0.103377 
six  Health  0.103377 
tuesday  Health  0.103377 
womb  Health  0.103377 
women  Health  0.103377 
american  Health  0.091891 
baby  Health  0.091891 
congress  Health  0.091891 
coverage  Health  0.091891 
death  Health  0.091891 
dna  Health  0.091891 
help  Health  0.091891 
increased  Health  0.091891 
napping  Health  0.091891 
oneblood  Health  0.091891 
results  Health  0.091891 
review  Health  0.091891 
september  Health  0.091891 
water  Health  0.091891 
anonymous  Health  0.080404 
bacteria  Health  0.080404 
birth  Health  0.080404 
cause  Health  0.080404 
countries  Health  0.080404 
developed  Health  0.080404 
diseases  Health  0.080404 
increase  Health  0.080404 
involved  Health  0.080404 
mother  Health  0.080404 
organs  Health  0.080404 
professor  Health  0.080404 
program  Health  0.080404 
recipient  Health  0.080404 
recommended  Health  0.080404 
saliva  Health  0.080404 
smell  Health  0.080404 
abortion  Health  0.068918 
brännström  Health  0.068918 
cell  Health  0.068918 
created  Health  0.068918 
daughter  Health  0.068918 
daytime  Health  0.068918 
dentists  Health  0.068918 
doan  Health  0.068918 
don  Health  0.068918 
dry  Health  0.068918 
ethical  Health  0.068918 
food  Health  0.068918 
gupta  Health  0.068918 
involving  Health  0.068918 
letter  Health  0.068918 
life  Health  0.068918 
live  Health  0.068918 
living  Health  0.068918 
months  Health  0.068918 
newsletter  Health  0.068918 
published  Health  0.068918 
reduce  Health  0.068918 
reproductive  Health  0.068918 
research  Health  0.068918 
risks  Health  0.068918 
sanjay  Health  0.068918 
says  Health  0.068918 
scientists  Health  0.068918 
seven  Health  0.068918 
spokeswoman  Health  0.068918 
statement  Health  0.068918 
sugar  Health  0.068918 
transplanted  Health  0.068918 
underlying  Health  0.068918 
vaccines  Health  0.068918 
video  Health  0.068918 
wang  Health  0.068918 
weekly  Health  0.068918 
adults  Health  0.057432 
andraus  Health  0.057432 
associated  Health  0.057432 
breast  Health  0.057432 
cappuccio  Health  0.057432 
children  Health  0.057432 
commonly  Health  0.057432 
create  Health  0.057432 
data  Health  0.057432 
detect  Health  0.057432 
development  Health  0.057432 
due  Health  0.057432 
ejzenberg  Health  0.057432 
estimated  Health  0.057432 
events  Health  0.057432 
experimental  Health  0.057432 
five  Health  0.057432 
free  Health  0.057432 
getting  Health  0.057432 
hope  Health  0.057432 
led  Health  0.057432 
normal  Health  0.057432 
occurred  Health  0.057432 
odor  Health  0.057432 
pregnancy  Health  0.057432 
preventing  Health  0.057432 
provide  Health  0.057432 
region  Health  0.057432 
reported  Health  0.057432 
slept  Health  0.057432 
source  Health  0.057432 
stink  Health  0.057432 
studies  Health  0.057432 
sweden  Health  0.057432 
tissues  Health  0.057432 
told  Health  0.057432 
transfer  Health  0.057432 
types  Health  0.057432 
world  Health  0.057432 
$  Health  0.045945 
aclu  Health  0.045945 
adding  Health  0.045945 
adequate  Health  0.045945 
admin  Health  0.045945 
alcohol  Health  0.045945 
allowed  Health  0.045945 
america  Health  0.045945 
audit  Health  0.045945 
authors  Health  0.045945 
breathing  Health  0.045945 
brushing  Health  0.045945 
bush  Health  0.045945 
california  Health  0.045945 
candies  Health  0.045945 
causes  Health  0.045945 
chronic  Health  0.045945 
claims  Health  0.045945 
comment  Health  0.045945 
condition  Health  0.045945 
conditions  Health  0.045945 
conducted  Health  0.045945 
contain  Health  0.045945 
continued  Health  0.045945 
continuing  Health  0.045945 
contradicts  Health  0.045945 
controversial  Health  0.045945 
critical  Health  0.045945 
deaths  Health  0.045945 
decades  Health  0.045945 
deceptive  Health  0.045945 
dept  Health  0.045945 
derived  Health  0.045945 
detection  Health  0.045945 
diabetes  Health  0.045945 
dish  Health  0.045945 
drinking  Health  0.045945 
drip  Health  0.045945 
drugs  Health  0.045945 
easily  Health  0.045945 
eat  Health  0.045945 
eggs  Health  0.045945 
endemic  Health  0.045945 
ensure  Health  0.045945 
europe  Health  0.045945 
exist  Health  0.045945 
explained  Health  0.045945 
factor  Health  0.045945 
fda  Health  0.045945 
fight  Health  0.045945 
finding  Health  0.045945 
findings  Health  0.045945 
funded  Health  0.045945 
girl  Health  0.045945 
global  Health  0.045945 
globally  Health  0.045945 
grow  Health  0.045945 
gum  Health  0.045945 
health  Health  0.045945 
ill  Health  0.045945 
immigrant  Health  0.045945 
including  Health  0.045945 
infertility  Health  0.045945 
initiated  Health  0.045945 
investigating  Health  0.045945 
justice  Health  0.045945 
law  Health  0.045945 
lines  Health  0.045945 
materials  Health  0.045945 
million  Health  0.045945 
minor  Health  0.045945 
model  Health  0.045945 
moral  Health  0.045945 
moratorium  Health  0.045945 
morris  Health  0.045945 
nearly  Health  0.045945 
nih  Health  0.045945 
obtained  Health  0.045945 
occur  Health  0.045945 
office  Health  0.045945 
official  Health  0.045945 
offit  Health  0.045945 
orwig  Health  0.045945 
parenthood  Health  0.045945 
patient  Health  0.045945 
patients  Health  0.045945 
petri  Health  0.045945 
placed  Health  0.045945 
planned  Health  0.045945 
possibility  Health  0.045945 
process  Health  0.045945 
production  Health  0.045945 
questions  Health  0.045945 
reporting  Health  0.045945 
reviewing  Health  0.045945 
rotten  Health  0.045945 
senior  Health  0.045945 
serious  Health  0.045945 
service  Health  0.045945 
signs  Health  0.045945 
stinky  Health  0.045945 
system  Health  0.045945 
technologies  Health  0.045945 
tissue  Health  0.045945 
treatments  Health  0.045945 
united  Health  0.045945 
uterine  Health  0.045945 
via  Health  0.045945 
videos  Health  0.045945 
virus  Health  0.045945 
washington  Health  0.045945 
weeks  Health  0.045945 
worldwide  Health  0.045945 
wrote  Health  0.045945 
able  Health  0.034459 
absolute  Health  0.034459 
allergies  Health  0.034459 
amount  Health  0.034459 
attempted  Health  0.034459 
australia  Health  0.034459 
available  Health  0.034459 
based  Health  0.034459 
brush  Health  0.034459 
cadaver  Health  0.034459 
cancerous  Health  0.034459 
coming  Health  0.034459 
common  Health  0.034459 
completely  Health  0.034459 
continue  Health  0.034459 
current  Health  0.034459 
deceased  Health  0.034459 
died  Health  0.034459 
director  Health  0.034459 
doctors  Health  0.034459 
donate  Health  0.034459 
donated  Health  0.034459 
drug  Health  0.034459 
east  Health  0.034459 
effect  Health  0.034459 
embryos  Health  0.034459 
explains  Health  0.034459 
family  Health  0.034459 
federation  Health  0.034459 
floss  Health  0.034459 
foods  Health  0.034459 
gene  Health  0.034459 
heart  Health  0.034459 
highly  Health  0.034459 
house  Health  0.034459 
hundreds  Health  0.034459 
illness  Health  0.034459 
journal  Health  0.034459 
ketones  Health  0.034459 
lack  Health  0.034459 
late  Health  0.034459 
leading  Health  0.034459 
levels  Health  0.034459 
little  Health  0.034459 
liver  Health  0.034459 
looking  Health  0.034459 
lot  Health  0.034459 
low  Health  0.034459 
major  Health  0.034459 
middle  Health  0.034459 
minute  Health  0.034459 
molecular  Health  0.034459 
mughal  Health  0.034459 
multiple  Health  0.034459 
nance  Health  0.034459 
newly  Health  0.034459 
nose  Health  0.034459 
noted  Health  0.034459 
obstetrics  Health  0.034459 
occurs  Health  0.034459 
organization  Health  0.034459 
otherwise  Health  0.034459 
outbreaks  Health  0.034459 
paulo  Health  0.034459 
person  Health  0.034459 
presence  Health  0.034459 
previous  Health  0.034459 
rank  Health  0.034459 
rates  Health  0.034459 
regions  Health  0.034459 
remains  Health  0.034459 
resources  Health  0.034459 
say  Health  0.034459 
science  Health  0.034459 
significant  Health  0.034459 
smells  Health  0.034459 
solution  Health  0.034459 
stage  Health  0.034459 
story  Health  0.034459 
success  Health  0.034459 
successful  Health  0.034459 
support  Health  0.034459 
surgery  Health  0.034459 
sweet  Health  0.034459 
systems  Health  0.034459 
taste  Health  0.034459 
teams  Health  0.034459 
teeth  Health  0.034459 
tell  Health  0.034459 
tend  Health  0.034459 
testing  Health  0.034459 
tobacco  Health  0.034459 
tongue  Health  0.034459 
try  Health  0.034459 
verified  Health  0.034459 
wednesday  Health  0.034459 
woman  Health  0.034459 
abnormalities  Health  0.022973 
absolutely  Health  0.022973 
academy  Health  0.022973 
accelerated  Health  0.022973 
acid  Health  0.022973 
act  Health  0.022973 
address  Health  0.022973 
adult  Health  0.022973 
advanced  Health  0.022973 
affected  Health  0.022973 
affects  Health  0.022973 
age  Health  0.022973 
agency  Health  0.022973 
ago  Health  0.022973 
airplane  Health  0.022973 
allergy  Health  0.022973 
amendment  Health  0.022973 
animal  Health  0.022973 
animals  Health  0.022973 
answered  Health  0.022973 
antigen  Health  0.022973 
article  Health  0.022973 
asia  Health  0.022973 
assertions  Health  0.022973 
associate  Health  0.022973 
association  Health  0.022973 
assurances  Health  0.022973 
authority  Health  0.022973 
average  Health  0.022973 
balancing  Health  0.022973 
ban  Health  0.022973 
barack  Health  0.022973 
battle  Health  0.022973 
biochemistry  Health  0.022973 
biology  Health  0.022973 
biomedical  Health  0.022973 
bioscience  Health  0.022973 
biotech  Health  0.022973 
bitten  Health  0.022973 
board  Health  0.022973 
brazil  Health  0.022973 
breakthroughs  Health  0.022973 
breath  Health  0.022973 
bright  Health  0.022973 
brings  Health  0.022973 
british  Health  0.022973 
caffeine  Health  0.022973 
caitlin  Health  0.022973 
cancellation  Health  0.022973 
cancelled  Health  0.022973 
cancers  Health  0.022973 
carrascosa  Health  0.022973 
cdc  Health  0.022973 
center  Health  0.022973 
centers  Health  0.022973 
change  Health  0.022973 
changed  Health  0.022973 
changes  Health  0.022973 
check  Health  0.022973 
chickenpox  Health  0.022973 
child  Health  0.022973 
childhood  Health  0.022973 
china  Health  0.022973 
chose  Health  0.022973 
claire  Health  0.022973 
clinical  Health  0.022973 
clinically  Health  0.022973 
clinton  Health  0.022973 
clínicas  Health  0.022973 
co  Health  0.022973 
coffee  Health  0.022973 
college  Health  0.022973 
communication  Health  0.022973 
